"年月","業者名稱","數據傳輸量（GBytes）","用戶數","平均每一用戶數據傳輸量（GBytes）"
"114/9","中華電信股份有限公司","389,579,492","11,259,907 ","34.60 "
"114/9","台灣大哥大股份有限公司","349,917,791","9,129,821 ","38.33 "
"114/9","遠傳電信股份有限公司","344,041,873","8,171,923 ","42.10 "
"114/8","遠傳電信股份有限公司","354,949,006","8,162,699 ","43.48 "
"114/8","中華電信股份有限公司","391,483,842","11,257,824 ","34.77 "
"114/8","台灣大哥大股份有限公司","362,413,805","9,213,117 ","39.34 "
"114/7","遠傳電信股份有限公司","356,974,458","8,146,919 ","43.82 "
"114/7","台灣大哥大股份有限公司","365,770,749","9,290,357 ","39.37 "
"114/7","中華電信股份有限公司","375,154,919","11,244,526 ","33.36 "
"114/6","中華電信股份有限公司","384,921,470","11,246,460 ","34.23 "
"114/6","遠傳電信股份有限公司","340,634,279","8,135,030 ","41.87 "
"114/6","台灣大哥大股份有限公司","348,311,291","9,357,135 ","37.22 "
"114/5","遠傳電信股份有限公司","353,280,085","8,125,834 ","43.48 "
"114/5","台灣大哥大股份有限公司","362,678,085","9,362,932 ","38.74 "
"114/5","中華電信股份有限公司","374,037,521","11,212,405 ","33.36 "
"114/4","遠傳電信股份有限公司","342,099,171","8,121,950 ","42.12 "
"114/4","中華電信股份有限公司","377,772,461","11,240,528 ","33.61 "
"114/4","台灣大哥大股份有限公司","351,981,185","9,375,617 ","37.54 "
"114/3","中華電信股份有限公司","341,368,558","11,256,680 ","30.33 "
"114/3","遠傳電信股份有限公司","344,374,455","8,157,296 ","42.22 "
"114/3","台灣大哥大股份有限公司","354,417,511","9,380,833 ","37.78 "
"114/2","遠傳電信股份有限公司","308,653,206","8,256,366 ","37.38 "
"114/2","台灣大哥大股份有限公司","317,482,701","9,382,556 ","33.84 "
"114/2","中華電信股份有限公司","363,392,847","11,267,124 ","32.25 "
"114/1","中華電信股份有限公司","362,105,608","11,285,408 ","32.09 "
"114/1","台灣大哥大股份有限公司","342,568,128","9,359,892 ","36.60 "
"114/1","遠傳電信股份有限公司","333,192,555","8,575,156 ","38.86 "
"113/12","遠傳電信股份有限公司","329,166,126","9,038,369 ","36.42 "
"113/12","台灣大哥大股份有限公司","339,134,992","9,364,997 ","36.21 "
"113/12","中華電信股份有限公司","356,467,164","11,290,921 ","31.57 "
"113/11","中華電信股份有限公司","373,745,307","11,257,697 ","33.20 "
"113/11","遠傳電信股份有限公司","322,376,643","9,050,397 ","35.62 "
"113/11","台灣大哥大股份有限公司","331,876,578","9,384,832 ","35.36 "
"113/10","中華電信股份有限公司","363,035,924","11,217,166 ","32.36 "
"113/10","遠傳電信股份有限公司","344,244,569","9,062,019 ","37.99 "
"113/10","台灣大哥大股份有限公司","353,744,684","9,394,022 ","37.66 "
"113/9","台灣大哥大股份有限公司","334,775,163","9,405,274 ","35.59 "
"113/9","中華電信股份有限公司","370,326,223","11,219,665 ","33.01 "
